Name,SPDR S&P 500 ETF Trust (SPY),iShares Core S&P 500 ETF (IVV),Vanguard S&P 500 ETF (VOO),Vanguard Total Stock Market ETF (VTI),Invesco QQQ Trust Series I (QQQ),Vanguard FTSE Developed Markets ETF (VEA),Vanguard Growth ETF (VUG),iShares Core MSCI EAFE ETF (IEFA),Vanguard Value ETF (VTV),Vanguard Total Bond Market ETF (BND),iShares Core U.S. Aggregate Bond ETF (AGG),iShares Russell 1000 Growth ETF (IWF),iShares Core S&P Mid-Cap ETF (IJH),iShares Core S&P Small Cap ETF (IJR),Vanguard Dividend Appreciation ETF (VIG),Vanguard FTSE Emerging Markets ETF (VWO),iShares Core MSCI Emerging Markets ETF (IEMG),Vanguard Total International Stock ETF (VXUS),Vanguard Information Technology ETF (VGT),Technology Select Sector SPDR Fund (XLK)
Symbol,SPY,IVV,VOO,VTI,QQQ,VEA,VUG,IEFA,VTV,BND,AGG,IWF,IJH,IJR,VIG,VWO,IEMG,VXUS,VGT,XLK
Type,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF ,ETF 
Jurisdiction,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
20010731,-0.0101954010430345,-0.0113295394662641,,-0.0191149106953774,-0.0862146357455116,,,,,,,-0.0363803837968221,-0.0194720237279076,-0.00666592612724193,,,,,,-0.0692227451426651
20010831,-0.0593326634726935,-0.0582849910018487,,-0.0585533088185203,-0.122844775174393,,,,,,,-0.0818297677362323,-0.0275257180019699,-0.0180134101283926,,,,,,-0.122044066514483
20010928,-0.0816301382374811,-0.086054427042151,,-0.0868328427824904,-0.208845276211928,,,,,,,-0.098643103581018,-0.12404035788205,-0.141264110722862,,,,,,-0.163770708022737
20011031,0.0130214751176345,0.0178069383004336,,0.0205368058716331,0.169772048055384,,,,,,,0.0531057170658704,0.0431893961653134,0.0573677257093599,,,,,,0.109090749292609
20011130,0.0779779870059061,0.0776500546897883,,0.0761613093624716,0.169616823486019,,,,,,,0.0927746512980949,0.072870280590055,0.0658994847209842,,,,,,0.149414736522996
20011231,0.00563807252364024,0.00521688957819144,,0.014420373364568,-0.0186633222882865,,,,,,,-0.00226331280028591,0.0478361105211853,0.0666127127847296,,,,,,-0.0220048849059227
20020131,-0.00979787896478912,-0.0104086575347862,,-0.00872838257378628,-0.0102800752891308,,,,,,,-0.0192378719353711,0.00059313308635689,0.015297380163396,,,,,,-0.010833126620575
20020228,-0.017936273409995,-0.0185608942795418,,-0.0175173083431744,-0.122825521781422,,,,,,,-0.0362292281778277,-0.0040510925423769,-0.0206635404573105,,,,,,-0.130160235777078
20020328,0.0332709973922454,0.0336600259020763,,0.0367196922149722,0.067495353700737,,,,,,,0.0328356168608948,0.0726184897848561,0.0778078117037795,,,,,,0.0493950234934109
20020430,-0.058156453944957,-0.0571222943814721,,-0.0445764259267207,-0.120077264390465,,,,,,,-0.0833495968612896,-0.00259362248158579,0.0318398834122275,,,,,,-0.120904944714795
